episode,checkpoint,episode_reward,coverage_rate,transport_rate,delivered_cargoes
1,checkpoints/mappo_global_clip010_entropy0005_best_eval.pt,-3295.0,0.5,0.5838709677419355,31.0
2,checkpoints/mappo_global_clip010_entropy0005_best_eval.pt,-3341.0,0.375,0.5974193548387097,31.0
3,checkpoints/mappo_global_clip010_entropy0005_best_eval.pt,-3669.0,0.125,0.6755172413793104,29.0
4,checkpoints/mappo_global_clip010_entropy0005_best_eval.pt,-3466.0,0.5,0.6256666666666667,30.0
5,checkpoints/mappo_global_clip010_entropy0005_best_eval.pt,-3542.0,0.0,0.6080645161290322,31.0
6,checkpoints/mappo_global_clip010_entropy0005_best_eval.pt,-3152.0,0.5,0.5419354838709678,31.0
7,checkpoints/mappo_global_clip010_entropy0005_best_eval.pt,-3703.0,0.5,0.619375,32.0
8,checkpoints/mappo_global_clip010_entropy0005_best_eval.pt,-4675.0,0.25,0.7260606060606061,33.0
9,checkpoints/mappo_global_clip010_entropy0005_best_eval.pt,-3992.0,0.0,0.6147058823529412,34.0
10,checkpoints/mappo_global_clip010_entropy0005_best_eval.pt,-4255.0,0.25,0.6871875,32.0
