chunk,env_steps,agent_steps,actor_loss,critic_loss,entropy,completed_episodes,chunk_time_sec,progress_percent,critic_input_mode,clip_range,entropy_coef,did_evaluate,is_best_eval,eval_episode_reward,eval_episode_reward_std,eval_coverage_rate,eval_transport_rate,eval_delivered_cargoes
1,22400,179200,-0.014668659120798112,0.42420674562454225,2.898275136947632,16,49.224794149398804,11.2,global,0.1,0.005,True,True,-4399.6,372.5096508816919,0.225,0.691468235930736,33.2
2,44800,358400,-0.015108883194625378,0.26206907629966736,2.9867953777313234,32,48.50817108154297,22.4,global,0.1,0.005,True,True,-3966.2,308.02298615525433,0.2,0.6595553519061583,31.6
3,67200,537600,-0.015432728640735149,0.3502992570400238,3.0348587036132812,52,50.35223913192749,33.6,global,0.1,0.005,True,False,-4123.8,372.3516617392757,0.375,0.7013944892473118,31.2
4,89600,716800,-0.016069411486387252,0.26066961884498596,3.1647694587707518,69,49.1031711101532,44.8,global,0.1,0.005,True,False,-4061.8,278.55225721576915,0.225,0.6754519162706037,31.8
5,112000,896000,-0.016352104768157006,0.28907395601272584,3.2182904720306396,87,49.356462717056274,56.0,global,0.1,0.005,True,True,-3883.4,473.66300256617046,0.3,0.6579425055617353,31.2
6,134400,1075200,-0.016376697272062302,0.3427253782749176,3.2725509643554687,107,49.67610168457031,67.2,global,0.1,0.005,True,True,-3726.6,359.3241433580549,0.15,0.6232581667539095,31.6
7,156800,1254400,-0.016454287990927696,0.36714155673980714,3.2485814094543457,125,49.260865926742554,78.4,global,0.1,0.005,True,False,-4055.6,267.3496586868964,0.4,0.6689421187683284,31.8
8,179200,1433600,-0.016593466699123382,0.3694407045841217,3.272328996658325,142,48.76847720146179,89.6,global,0.1,0.005,True,False,-3748.6,271.0657484818028,0.375,0.6465029772137393,31.0
9,201600,1612800,-0.016664735227823257,0.3432149350643158,3.302961492538452,159,49.30660796165466,100.8,global,0.1,0.005,True,False,-3935.0,302.1152098124158,0.3,0.6749613459399332,30.8
10,201600,1612800,-0.016664735227823257,0.3432149350643158,3.302961492538452,159,2.1457672119140625e-06,100.8,global,0.1,0.005,True,False,-4084.4,215.77173123465457,0.275,0.6858709677419356,31.2
